Publisher	Series	Title	ERF Level	New GSL 95%[Types Needed]	New GSL 98%[Types Needed]	NGSL 95%[Types Needed]	NGSL 98%[Types Needed]	SEWK-J 95%[Types Needed]	SEWK-J 98%[Types Needed]	BNC/COCA 95%[Types Needed]	BNC/COCA 98%[Types Needed]
Abax
	Global Issues Narratives
		Ivan the Fool	2	Off-List[1]	Off-List[12]	Off-List[1]	Off-List[3]	"1,357"	"2,361"	4	4
		Ivanhoe	3	Off-List[9]	Off-List[34]	Off-List[1]	Off-List[9]	"11,598"	"29,206"	5	6
		Jack and Magic Beans	2	Off-List[5]	Off-List[13]	"2,589"	Off-List[2]	"1,941"	"2,463"	2	5
		Journey to the West	3	Off-List[4]	Off-List[19]	"2,574"	Off-List[5]	"3,113"	"10,433"	2	4
		King Arthur and the Black Knight	3	Off-List[6]	Off-List[21]	Off-List[1]	Off-List[5]	"4,134"	"16,388"	4	5
		Lady or the Tiger? The	2	Off-List[3]	Off-List[10]	Off-List[2]	Off-List[4]	"2,491"	"3,554"	3	4
		Last Leaf The	3	Off-List[2]	Off-List[32]	"1,861"	Off-List[6]	"2,492"	"6,878"	2	4
		Last Lesson The	3	2117	Off-List[17]	"1,438"	Off-List[3]	"3,007"	"11,210"	2	5
		Legend of Sleepy Hollow The	3	Off-List[1]	Off-List[20]	"1,991"	Off-List[3]	"33,672"	"55,802"	3	11
		Life and Adventures of Santa Claus The	2	Off-List[1]	Off-List[12]	"1,992"	Off-List[2]	"2,492"	"7,800"	2	4
		Little Lord Fauntleroy	3	Off-List[2]	Off-List[19]	"2,058"	Off-List[3]	"7,440"	"11,210"	2	4
		Little Princess The	2	Off-List[11]	Off-List[31]	"2,638"	Off-List[9]	"14,176"	"14,176"	2	4
		Magic Flute The	3	Off-List[10]	Off-List[30]	"2,688"	Off-List[5]	"1,248"	"2,749"	2	3
		Magic Swan The	2	Off-List[4]	Off-List[10]	Off-List[1]	Off-List[3]	"3,763"	"8,605"	5	7
		Nightingale and the Rose The	2	Off-List[3]	Off-List[9]	Off-List[1]	Off-List[2]	"3,866"	"13,509"	4	5
		Noah's Ark	2	2077	Off-List[5]	"2,226"	"2,272"	"1,557"	"6,320"	1	7
		Nutcracker The	2	Off-List[5]	Off-List[9]	Off-List[1]	Off-List[3]	"8,670"	"11,210"	2	33
		Ole-Luk-Oie:Dream God	2	Off-List[10]	Off-List[30]	"2,589"	Off-List[7]	"3,423"	"39,931"	5	8
		Pinocchio	3	Off-List[7]	Off-List[26]	Off-List[2]	Off-List[7]	"34,303"	"52,490"	2	6
		Pollyanna	3	Off-List[1]	Off-List[27]	"2,089"	Off-List[5]	"13,293"	"54,498"	1	3
		Prince and the Pauper The	2	Off-List[5]	Off-List[20]	"2,638"	Off-List[2]	"12,602"	"12,772"	1	2
		Puss in Boots	2	Off-List[2]	Off-List[9]	"2,280"	Off-List[1]	"29,160"	"29,160"	8	8
		Sandman The	3	Off-List[1]	Off-List[28]	"1,760"	Off-List[2]	"15,032"	"24,825"	1	3
		Selfish Giant The	2	Off-List[1]	Off-List[2]	"1,708"	"2,225"	"1,112"	"2,492"	1	2
		Sleeping Beauty	2	Off-List[8]	Off-List[19]	Off-List[1]	Off-List[4]	"1,677"	"1,717"	2	2
		Son Who Came Home The	2	Off-List[1]	Off-List[6]	924	"2,516"	847	"1,263"	1	2
		Three Bears The	2	Off-List[1]	Off-List[4]	"2,289"	Off-List[1]	"1,142"	"38,903"	1	5
		Three Goats The	2	Off-List[2]	Off-List[3]	Off-List[1]	Off-List[2]	"2,988"	"3,049"	4	8
		Three Little Pigs The	2	Off-List[3]	Off-List[6]	Off-List[1]	Off-List[2]	"1,661"	"2,987"	2	2
		Three Sillies The	2	Off-List[6]	Off-List[16]	Off-List[2]	Off-List[9]	"1,717"	"3,896"	3	6
		Town Mouse and the Country Mouse	2	Off-List[1]	Off-List[4]	"1,924"	Off-List[1]	857	"1,639"	2	2
		Trojan Horse The	2	Off-List[1]	Off-List[4]	"2,114"	Off-List[1]	"24,503"	"37,698"	1	2
		Two Frogs	2	Off-List[2]	Off-List[4]	Off-List[1]	Off-List[2]	"1,588"	"1,712"	2	4
		Two Years' Vacation	3	Off-List[5]	Off-List[37]	"1,997"	Off-List[5]	"2,492"	"11,918"	2	3
		What Katy Did	3	1877	Off-List[10]	"1,714"	"2,777"	"1,430"	"2,890"	1	2
		Woodman and the Ax The	2	Off-List[2]	Off-List[5]	Off-List[1]	Off-List[2]	"30,559"	"30,559"	33	33
e-Future
	Classic Readers (e-Future)
		Adventures of Robin Hood The	4	Off-List[26]	Off-List[119]	Off-List[1]	Off-List[17]	"5,060"	"8,607"	4	6
		Adventures of Sherlock Holmes The	5	Off-List[59]	Off-List[290]	"2,417"	Off-List[48]	"4,562"	"11,210"	2	4
		Aladdin and the Magic Lamp	3	Off-List[7]	Off-List[21]	Off-List[4]	Off-List[8]	"2,858"	"7,733"	2	9
		Ali Baba and the Forty Thieves	3	Off-List[15]	Off-List[60]	Off-List[1]	Off-List[14]	"3,201"	"16,102"	2	4
		Alice in Wonderland	3	Off-List[18]	Off-List[70]	Off-List[2]	Off-List[21]	"3,242"	"13,096"	2	6
		Anne of Green Gables	5	Off-List[104]	Off-List[374]	"2,693"	Off-List[120]	"12,960"	"17,971"	2	4
		Ant and the Grasshopper The	1	Off-List[2]	Off-List[4]	"1,718"	Off-List[1]	"4,486"	"4,486"	11	11
		Apparition of Mrs Veal The	3	Off-List[4]	Off-List[45]	"1,629"	Off-List[7]	"9,406"	"50,111"	2	9
		Around the World in Eighty days	5	Off-List[56]	Off-List[200]	Off-List[2]	Off-List[55]	"9,410"	"14,752"	3	5
		As You Like It	4	Off-List[18]	Off-List[124]	"2,764"	Off-List[25]	"8,360"	"19,075"	2	4
		Bearskin	3	Off-List[3]	Off-List[26]	"1,932"	Off-List[4]	"2,361"	"6,806"	2	4
		Bearskin The	1	1713	Off-List[3]	"1,366"	Off-List[1]	"3,854"	"24,523"	1	2
		Beauty and the Beast	3	Off-List[3]	Off-List[19]	Off-List[1]	Off-List[4]	"2,492"	"16,960"	4	4
		Beginning of the Armadillos The	2	Off-List[7]	Off-List[13]	Off-List[2]	Off-List[5]	"9,501"	"9,501"	8	10
		Beowulf	3	Off-List[48]	Off-List[135]	Off-List[5]	Off-List[29]	"2,467"	"4,240"	2	4
		Bird on Its Journey The	3	Off-List[22]	Off-List[103]	"2,508"	Off-List[21]	"3,149"	"5,899"	2	3
		Black Beauty	4	Off-List[20]	Off-List[105]	"2,191"	Off-List[27]	"3,630"	"11,531"	2	4
		Boy Who Cried Wolf The /The Lion and the Mouse	2	Off-List[6]	Off-List[16]	Off-List[1]	Off-List[5]	"1,661"	"2,288"	2	2
		Brave Tin Soldier The	2	Off-List[7]	Off-List[24]	Off-List[1]	Off-List[4]	"2,381"	"2,856"	2	3
		Buttercup	2	Off-List[7]	Off-List[21]	Off-List[1]	Off-List[9]	"5,112"	"7,799"	7	13
		Canterville Ghost The	4	Off-List[137]	Off-List[376]	Off-List[4]	Off-List[118]	"4,578"	"10,981"	2	5
		Chicken Little	2	1718	1832	"1,874"	"2,337"	"6,921"	"8,170"	2	16
		Christmas Carol A	3	Off-List[1]	Off-List[35]	"1,590"	Off-List[4]	"4,534"	"39,415"	2	2
		Cinderella	2	Off-List[15]	Off-List[32]	Off-List[6]	Off-List[13]	"4,421"	"12,269"	6	8
		Cupid the Bad Boy	1	1346	Off-List[1]	"1,001"	"2,601"	"11,210"	"12,966"	4	15
		Devil and Tom Walker The	3	Off-List[21]	Off-List[86]	Off-List[2]	Off-List[21]	"5,027"	"12,602"	2	4
		Diamond as Big as the Ritz A	5	Off-List[162]	Off-List[465]	Off-List[2]	Off-List[144]	"5,062"	"10,095"	2	4
		Diamond Necklace The	3	Off-List[7]	Off-List[47]	"2,290"	Off-List[7]	"3,537"	"27,046"	2	5
		Doctor Knowall	2	2409	Off-List[1]	"1,305"	"2,638"	"11,210"	"11,758"	1	1
		Donkey The	2	Off-List[4]	Off-List[8]	Off-List[2]	Off-List[3]	"3,031"	"3,031"	6	6
		East of the Sun and West of the Moon	2	Off-List[4]	Off-List[8]	Off-List[1]	Off-List[3]	"15,301"	"15,301"	1	2
		Elephants Child The	3	Off-List[13]	Off-List[42]	Off-List[4]	Off-List[14]	"2,716"	"7,019"	6	9
		Elixir of Life The	4	Off-List[44]	Off-List[147]	Off-List[1]	Off-List[42]	"5,628"	"13,724"	3	4
		Elves and the Shoemaker The	2	Off-List[2]	Off-List[4]	Off-List[1]	Off-List[2]	"2,155"	"5,825"	5	33
		Enchanted Bluff The	3	Off-List[1]	Off-List[39]	"1,783"	Off-List[6]	"2,396"	"6,786"	2	5
		Fir Tree The	3	Off-List[8]	Off-List[31]	Off-List[1]	Off-List[7]	"5,081"	"13,607"	4	8
		Firebird The	2	Off-List[4]	Off-List[9]	Off-List[1]	Off-List[3]	"2,369"	"13,530"	2	5
		Fisherman and His Wife The	1	Off-List[2]	Off-List[6]	Off-List[1]	Off-List[2]	"2,055"	"3,171"	3	33
		Fisherman and the Genie The	4	Off-List[73]	Off-List[231]	Off-List[5]	Off-List[64]	"4,903"	"8,298"	3	10
		Four Dragons The	1	Off-List[1]	Off-List[1]	"1,874"	Off-List[1]	"1,002"	"9,692"	2	7
		Fox and the Cat The	1	1590	Off-List[1]	"1,676"	"1,676"	"1,068"	"1,068"	2	2
		Fox and the Crow The	1	2441	Off-List[3]	"1,867"	Off-List[1]	"1,129"	"1,950"	2	6
		Fox and the Grapes The	1	Off-List[2]	Off-List[3]	Off-List[2]	Off-List[3]	"1,418"	"1,723"	5	5
		Fox and the Stork The	1	Off-List[2]	Off-List[5]	Off-List[2]	Off-List[3]	"18,903"	"18,903"	12	12
		Frog Prince The	2	Off-List[1]	Off-List[4]	Off-List[1]	Off-List[1]	"1,588"	"1,717"	2	2
		Gift of the Magi The	3	Off-List[4]	Off-List[29]	"1,861"	Off-List[1]	"3,752"	"12,909"	2	4
		Gilrays Flowerpot	3	Off-List[1]	Off-List[13]	"1,674"	Off-List[1]	"2,492"	"5,874"	1	2
		Gingerbread Man The	2	Off-List[1]	Off-List[3]	Off-List[1]	Off-List[2]	"4,189"	"4,189"	33	33
		Girl and the Pot of Milk The	1	Off-List[1]	Off-List[4]	"2,547"	Off-List[1]	"1,155"	"1,173"	1	2
		Girl in Red The	1	Off-List[2]	Off-List[3]	Off-List[1]	Off-List[1]	"1,661"	"1,661"	2	2
		God Sees the Truth but Waits	3	Off-List[5]	Off-List[45]	"2,535"	Off-List[12]	"2,573"	"5,933"	2	4
		Golden Goose The	2	Off-List[3]	Off-List[11]	Off-List[1]	Off-List[6]	"1,935"	"3,721"	1	4
		Goldilocks and the Three Bears	2	Off-List[4]	Off-List[10]	Off-List[2]	Off-List[4]	"8,931"	"38,903"	2	33
		Great Expectations	5	Off-List[34]	Off-List[253]	"2,241"	Off-List[52]	"4,115"	"12,384"	2	4
		Green Monkey The	1	Off-List[1]	Off-List[4]	"2,589"	Off-List[2]	720	"1,112"	2	2
		Guilty Secret The	3	Off-List[11]	Off-List[56]	"2,691"	Off-List[10]	"4,216"	"21,925"	2	4
		Hans in Luck	3	Off-List[13]	Off-List[36]	"2,654"	Off-List[8]	"7,556"	"13,713"	2	5
		Hansel and Gretel	3	Off-List[9]	Off-List[40]	Off-List[1]	Off-List[11]	"2,467"	"4,421"	2	5
		Happy Prince The	3	Off-List[3]	Off-List[16]	Off-List[2]	Off-List[4]	"2,062"	"5,451"	2	2
		Heart of a Monkey The	1	Off-List[1]	Off-List[5]	"1,638"	"2,021"	"1,511"	"1,511"	5	5
		Heidi	4	Off-List[3]	Off-List[84]	"2,261"	Off-List[10]	"3,053"	"11,210"	2	3
		Hercules	3	Off-List[6]	Off-List[25]	"2,188"	Off-List[3]	"1,810"	"4,238"	2	3
		How the Camel Got His Hump	2	Off-List[3]	Off-List[5]	Off-List[2]	Off-List[3]	"6,404"	0[1]	6	15
		How the Rabbit Loses Her Tail	1	Off-List[3]	Off-List[4]	Off-List[1]	Off-List[2]	898	"1,376"	2	2
		How the Rhinoceros Got His Skin	2	Off-List[10]	Off-List[19]	Off-List[5]	Off-List[11]	"4,256"	"7,295"	8	11
		How the Tiger Gets His Stripes	1	Off-List[2]	Off-List[4]	Off-List[1]	Off-List[2]	"1,782"	"2,911"	4	7
		How the Whale Got His Throat	2	Off-List[9]	Off-List[22]	Off-List[1]	Off-List[3]	"2,380"	"3,504"	4	4
		Isle of Voices The	4	Off-List[43]	Off-List[195]	"2,754"	Off-List[39]	"2,642"	"7,556"	2	5
		Jack	1	2441	Off-List[2]	"1,863"	"2,253"	"1,941"	"1,941"	1	2
		Jack and His Master	3	Off-List[4]	Off-List[21]	"2,494"	Off-List[7]	"2,492"	"6,670"	2	5
		Jack the Giant-Killer	3	Off-List[19]	Off-List[62]	"2,670"	Off-List[14]	"1,941"	"3,133"	2	4
		Jane Eyre	5	Off-List[30]	Off-List[223]	"2,059"	Off-List[36]	"5,874"	"11,210"	2	4
		Jury of Her Peers A	4	Off-List[31]	Off-List[164]	Off-List[1]	Off-List[38]	"9,406"	"14,721"	3	10
		Kidnapped Santa Claus A	3	Off-List[10]	Off-List[47]	Off-List[2]	Off-List[14]	"10,570"	"12,028"	5	7
		King and His Clothes The	2	Off-List[1]	Off-List[3]	"2,761"	Off-List[1]	"2,190"	"20,038"	2	3
		King Frost	2	Off-List[8]	Off-List[20]	Off-List[3]	Off-List[10]	"4,724"	"14,742"	5	5
		King of the Cats	1	1873	1873	"1,676"	"1,676"	"4,819"	"12,602"	1	12
		King with the Golden Touch The	1	Off-List[2]	Off-List[6]	Off-List[1]	Off-List[2]	"2,160"	"52,369"	5	24
		Lady or the Tiger? The	3	Off-List[11]	Off-List[49]	Off-List[2]	Off-List[14]	"3,016"	"5,298"	2	4
		Language of the Birds The	1	Off-List[1]	Off-List[4]	"1,997"	Off-List[1]	"1,043"	"2,694"	1	2
		Legend of Sleepy Hollow The	4	Off-List[470]	Off-List[750]	Off-List[165]	Off-List[431]	"7,272"	"20,942"	5	9
		Life and Adventures of Robinson Crusoe The	4	Off-List[28]	Off-List[159]	"2,239"	Off-List[20]	"3,091"	"5,594"	2	3
		Lion in Love The	1	Off-List[2]	Off-List[2]	Off-List[1]	Off-List[2]	"1,717"	"5,289"	2	33
		Little Match Girl The	2	Off-List[5]	Off-List[21]	"2,601"	Off-List[8]	"1,253"	"2,622"	2	3
		Little Mermaid The	2	2124	Off-List[4]	"1,419"	Off-List[1]	"2,357"	"3,244"	4	9
		Little Prince The	4	Off-List[24]	Off-List[127]	Off-List[1]	Off-List[24]	"2,098"	"4,552"	2	4
		Little Princess A	3	Off-List[10]	Off-List[51]	"2,589"	Off-List[12]	"11,210"	"14,176"	2	4
		Little Red Hen The	1	2467	Off-List[1]	"1,652"	"2,260"	"4,297"	"6,780"	5	7
		Little Red-Cape	2	Off-List[2]	Off-List[7]	"2,634"	Off-List[3]	"1,733"	"3,279"	2	2
		Little Women	5	Off-List[38]	Off-List[252]	"2,451"	Off-List[52]	"12,993"	"14,252"	2	3
		Macbeth	4	Off-List[65]	Off-List[213]	Off-List[2]	Off-List[51]	"3,987"	"13,250"	2	5
		Magic Swan The	2	Off-List[6]	Off-List[18]	Off-List[1]	Off-List[5]	"3,854"	"8,605"	3	7
		Man and the Lion The	1	Off-List[2]	Off-List[4]	Off-List[2]	Off-List[4]	"1,352"	"5,489"	2	4
		Man the Boy and the Donkey The / Androcles and the Lion	2	Off-List[9]	Off-List[20]	Off-List[3]	Off-List[10]	"3,031"	"4,760"	4	6
		Markheim	4	Off-List[69]	Off-List[230]	"2,669"	Off-List[45]	"3,372"	"5,413"	2	4
		Martian Odyssey A	4	Off-List[120]	Off-List[351]	Off-List[9]	Off-List[93]	"3,854"	"9,165"	3	5
		Merchant of Venice The	5	Off-List[13]	Off-List[123]	"2,138"	Off-List[14]	"4,596"	"22,157"	2	4
		Mice and the Cat The	1	Off-List[1]	Off-List[3]	"1,924"	"2,688"	"1,981"	"13,225"	2	2
		Momotaro	2	Off-List[3]	Off-List[12]	Off-List[1]	Off-List[3]	"1,910"	"3,113"	2	5
		Monkey's Paw The	3	Off-List[14]	Off-List[90]	"2,261"	Off-List[14]	"2,578"	"9,406"	2	4
		Mowgli	4	Off-List[55]	Off-List[218]	Off-List[3]	Off-List[43]	"2,911"	"7,061"	3	5
		Mr  Lismore and the Widow	4	Off-List[55]	Off-List[231]	"2,463"	Off-List[68]	"4,745"	"10,898"	2	3
		Murders in Rue Morgue	4	Off-List[74]	Off-List[251]	Off-List[4]	Off-List[76]	"6,262"	"19,477"	3	6
		Nightingale and the Rose The	3	Off-List[16]	Off-List[53]	Off-List[2]	Off-List[14]	"4,023"	"13,509"	4	6
		Nutcracker The	3	Off-List[17]	Off-List[60]	Off-List[1]	Off-List[13]	"8,670"	"13,771"	3	33
		Oblong Box The	3	Off-List[23]	Off-List[109]	"2,505"	Off-List[26]	"3,603"	"8,862"	2	4
		Occurrence at Owl Creek Ridge An	3	Off-List[28]	Off-List[87]	"2,604"	Off-List[15]	"3,125"	"6,642"	2	4
		Old Beggar Woman The	2	Off-List[3]	Off-List[8]	Off-List[2]	Off-List[5]	"1,952"	"14,296"	2	2
		Oliver Twist	4	Off-List[33]	Off-List[181]	"2,322"	Off-List[30]	"13,293"	"13,871"	2	4
		One-Eye Two-Eyes Three-Eyes	2	Off-List[1]	Off-List[6]	"2,031"	Off-List[4]	"1,102"	"2,150"	2	4
		Open Boat The	4	Off-List[98]	Off-List[301]	Off-List[5]	Off-List[78]	"5,025"	"14,798"	3	5
		Origin of Fire The	2	1996	Off-List[3]	"1,243"	"2,021"	"1,068"	"2,463"	2	5
		Oval Portrait The	2	Off-List[4]	Off-List[18]	"2,461"	Off-List[1]	"1,634"	"2,899"	1	3
		Perseus	3	Off-List[33]	Off-List[87]	Off-List[4]	Off-List[26]	"3,441"	"24,139"	3	7
		Peter and the Wolf	1	Off-List[3]	Off-List[5]	Off-List[2]	Off-List[3]	"8,605"	"8,605"	2	2
		Phantom of the Opera The	4	Off-List[23]	Off-List[105]	"2,528"	Off-List[19]	"6,001"	"21,060"	2	3
		Pride and Prejudice	4	Off-List[16]	Off-List[150]	"1,912"	Off-List[27]	"12,499"	"17,547"	2	3
		Prince and the Dragon The	3	Off-List[13]	Off-List[31]	Off-List[3]	Off-List[9]	"1,937"	"4,022"	2	5
		Prince and the Pauper The	4	Off-List[23]	Off-List[104]	"2,703"	Off-List[23]	"10,415"	"12,772"	2	4
		Princess and the Pea The	1	Off-List[3]	Off-List[4]	Off-List[2]	Off-List[3]	"1,317"	"1,404"	1	5
		Princess Bari	2	Off-List[2]	Off-List[10]	"2,150"	Off-List[2]	"1,704"	"2,366"	2	2
		Purloined Letter The	4	Off-List[10]	Off-List[79]	"2,541"	Off-List[16]	"3,087"	"9,703"	2	5
		Puss in Boots	2	Off-List[7]	Off-List[23]	"2,670"	Off-List[4]	"29,160"	"29,160"	8	8
		Pygmalion	3	Off-List[10]	Off-List[85]	"1,998"	Off-List[12]	"4,570"	"11,680"	2	4
		Rabbit and His Ears The	1	Off-List[2]	Off-List[5]	Off-List[2]	Off-List[4]	"1,276"	"2,150"	4	4
		Rabbits and the Frogs The	2	Off-List[3]	Off-List[7]	Off-List[2]	Off-List[3]	"1,195"	"1,274"	1	2
		Railway Children The	4	Off-List[47]	Off-List[245]	"2,592"	Off-List[52]	"4,728"	"12,879"	2	4
		Ransom of Red Chief The	3	Off-List[37]	Off-List[144]	"2,502"	Off-List[25]	"3,286"	"10,409"	2	4
		Rapunzel	2	Off-List[2]	Off-List[7]	Off-List[1]	Off-List[2]	"2,467"	"23,124"	1	5
		Rapunzel	3	Off-List[2]	Off-List[20]	"2,322"	Off-List[2]	"2,492"	"23,124"	2	5
		Rat Catcher The	1	Off-List[3]	Off-List[5]	"2,709"	Off-List[1]	"1,158"	"2,493"	3	3
		Red Shoes The	1	Off-List[1]	Off-List[5]	"1,474"	"2,589"	"13,001"	"13,001"	1	2
		Rikki-Tikki-Tavi	4	Off-List[28]	Off-List[111]	Off-List[1]	Off-List[24]	"6,613"	"26,432"	4	7
		Rip Van Winkle	3	Off-List[13]	Off-List[63]	"2,215"	Off-List[12]	"4,220"	"7,016"	2	4
		Romeo and Juliet	4	Off-List[7]	Off-List[56]	"2,636"	Off-List[11]	"10,592"	"18,967"	2	4
		Rumpelstiltskin	2	Off-List[2]	Off-List[4]	Off-List[1]	Off-List[2]	"2,079"	"37,407"	4	10
		Sandman The	3	Off-List[20]	Off-List[71]	Off-List[1]	Off-List[23]	"2,504"	"6,272"	2	33
		Selfish Giant The	3	Off-List[5]	Off-List[37]	"2,225"	Off-List[3]	"1,617"	"3,241"	2	2
		Service of Love A	3	Off-List[15]	Off-List[73]	"2,260"	Off-List[17]	"5,790"	"20,953"	2	4
		Six Sillies The	2	Off-List[3]	Off-List[11]	"2,699"	Off-List[3]	"1,404"	"2,313"	2	4
		Sleeping Beauty	3	Off-List[17]	Off-List[45]	Off-List[5]	Off-List[14]	"2,183"	"5,269"	2	5
		Sleeping Spell The	1	Off-List[4]	Off-List[9]	"2,670"	Off-List[2]	"1,136"	"1,677"	2	2
		Snow White	1	Off-List[1]	Off-List[4]	"1,948"	"2,589"	551	655	1	2
		Snowdrop 40	3	Off-List[5]	Off-List[22]	Off-List[1]	Off-List[5]	"2,927"	"6,880"	2	15
		Solange	3	Off-List[20]	Off-List[118]	"2,204"	Off-List[22]	"3,447"	"13,003"	2	5
		Son Who Doesnt Listen The	1	1242	Off-List[1]	687	"1,543"	847	"1,474"	1	1
		Spring of Youth The	1	1427	1766	"1,330"	"1,330"	709	"1,002"	1	1
		Star Child The	3	Off-List[13]	Off-List[55]	Off-List[2]	Off-List[17]	"2,142"	"4,422"	2	4
		Stone Soup	2	Off-List[3]	Off-List[7]	Off-List[2]	Off-List[3]	"1,171"	"10,433"	2	5
		Story of Doctor Dolittle The	3	Off-List[9]	Off-List[41]	Off-List[1]	Off-List[16]	"4,728"	"11,758"	2	6
		Strange Case of Dr  Jekyll and Mr Hyde The	4	Off-List[41]	Off-List[273]	"2,440"	Off-List[66]	"7,160"	"12,772"	2	3
		Sun the Wind and the Moon The	2	Off-List[6]	Off-List[16]	"2,596"	Off-List[3]	"1,717"	"3,914"	2	3
		Swan Lake 	2	Off-List[4]	Off-List[7]	Off-List[2]	Off-List[3]	"3,103"	"23,885"	5	7
		Sword in the Stone The	2	Off-List[1]	Off-List[3]	Off-List[1]	Off-List[1]	"6,249"	"16,486"	2	2
		Tale of Johnny Town-Mouse The	2	Off-List[2]	Off-List[9]	"1,924"	Off-List[4]	"13,358"	"13,358"	2	2
		Tale of Two Cities A	4	Off-List[13]	Off-List[122]	"2,166"	Off-List[16]	"5,315"	"13,691"	2	7
		Three Billy Goats Gruff The	2	Off-List[8]	Off-List[13]	Off-List[3]	Off-List[6]	"11,210"	"13,121"	8	9
		Three Dogs The	2	1832	Off-List[1]	"1,874"	Off-List[1]	"5,874"	"5,874"	2	2
		Thumbelina	3	Off-List[20]	Off-List[60]	Off-List[1]	Off-List[13]	"2,099"	"3,325"	2	6
		Time Machine The	3	Off-List[9]	Off-List[73]	"2,024"	Off-List[5]	"1,850"	"3,007"	2	4
		Tom Thumb	2	Off-List[8]	Off-List[19]	Off-List[2]	Off-List[9]	"5,289"	"12,602"	2	5
		Tortoise and the Rabbit The	2	Off-List[1]	Off-List[5]	"1,506"	Off-List[1]	"5,687"	"5,687"	8	8
		Treasure Island	5	Off-List[15]	Off-List[148]	Off-List[1]	Off-List[20]	"5,309"	"11,548"	2	5
		Two Pots The	1	Off-List[1]	Off-List[2]	"2,547"	"2,547"	"1,171"	"1,171"	2	2
		Ugly Duckling The	1	Off-List[3]	Off-List[5]	Off-List[1]	Off-List[3]	"4,765"	"4,765"	2	7
		Uncomfortable Bed An	2	Off-List[4]	Off-List[17]	"2,614"	Off-List[5]	"1,607"	"2,851"	2	4
		Wedding of Mrs Fox The	2	Off-List[2]	Off-List[7]	Off-List[1]	Off-List[4]	"7,175"	"9,406"	2	5
		White Fang	3	Off-List[10]	Off-List[70]	"2,627"	Off-List[12]	"7,299"	"11,778"	5	8
		White Snake The	1	Off-List[2]	Off-List[4]	"2,650"	Off-List[2]	"1,404"	"5,081"	1	2
		Why the Bear Has a Short Tail / The Fox as a Shepherd	2	Off-List[6]	Off-List[15]	Off-List[2]	Off-List[5]	"4,022"	"5,271"	2	5
		Why the Dog Hates the Cat	2	Off-List[5]	Off-List[16]	"2,650"	Off-List[4]	"9,406"	"13,043"	2	5
		Why the Sea Has Salt	1	Off-List[3]	Off-List[4]	Off-List[2]	Off-List[3]	"3,171"	"13,713"	2	33
		William Tell Told Again	5	Off-List[113]	Off-List[379]	Off-List[3]	Off-List[112]	"4,089"	"10,145"	2	4
		Wise Little Girl The	1	1947	Off-List[2]	"1,874"	"2,548"	"1,198"	"2,410"	1	2
		Wizard of Oz The	3	Off-List[11]	Off-List[39]	"2,703"	Off-List[9]	"2,856"	"6,307"	4	7
		Wolf and the Fox The	1	Off-List[2]	Off-List[5]	Off-List[1]	Off-List[4]	"1,661"	"2,175"	2	5
		Wolf and the Seven Children The	1	Off-List[1]	Off-List[2]	"2,703"	Off-List[2]	"1,661"	"2,150"	2	4
		Wuthering Heights	4	Off-List[39]	Off-List[208]	"2,226"	Off-List[45]	"6,163"	"26,155"	2	4
		You Cant Make Everybody Happy	1	Off-List[1]	Off-List[1]	"1,642"	Off-List[1]	"1,584"	"3,031"	1	6
		Young Chubb and the Musical Box	2	Off-List[2]	Off-List[23]	"2,332"	Off-List[3]	"5,077"	"20,706"	2	2
ELI
	Teen ELI Readers
		A Christmas Carol	3	Off-List[5]	Off-List[80]	"2,194"	Off-List[5]	"2,492"	"35,326"	2	2
		Adventure at Haydon Point	2	2132	Off-List[12]	"1,615"	Off-List[1]	"12,676"	"17,299"	1	2
		Anne of Green Gables	2	1979	Off-List[14]	"1,399"	"2,650"	"12,960"	"29,560"	1	3
		Black Beauty	2	1777	Off-List[12]	"1,330"	"2,191"	"1,938"	"10,965"	1	2
		Boat Race Mystery The	2	2425	Off-List[10]	"1,825"	Off-List[2]	"12,886"	"17,299"	2	4
		Boy with the Red Balloon The	2	Off-List[3]	Off-List[52]	"1,820"	Off-List[5]	"5,914"	"18,025"	1	2
		Call of the Wild The	3	Off-List[16]	Off-List[95]	"2,387"	Off-List[13]	"4,282"	"11,937"	2	5
		Canterbury Tales The	2	1371	Off-List[1]	981	"1,874"	"1,402"	"12,618"	1	2
		Connecticut Yankee in King Arthur's Court A	2	Off-List[43]	Off-List[161]	Off-List[2]	Off-List[59]	"4,134"	"8,914"	3	5
		David Copperfield	3	Off-List[102]	Off-List[327]	Off-List[7]	Off-List[155]	"11,210"	"35,525"	3	5
		Destination: Karminia	3	Off-List[43]	Off-List[146]	Off-List[7]	Off-List[59]	"12,618"	"16,919"	3	8
		Egghead	2	1983	Off-List[21]	"1,351"	"2,796"	"2,721"	"12,176"	1	3
		Egyptian Souvenir The	2	Off-List[8]	Off-List[51]	"2,590"	Off-List[13]	"5,447"	"12,442"	2	6
		Expedition Brazil	3	Off-List[12]	Off-List[112]	"2,007"	Off-List[19]	"3,270"	"17,977"	2	4
		Faraway World A	2	Off-List[3]	Off-List[36]	"1,630"	Off-List[7]	"4,503"	"12,480"	1	3
		Little Lord Fauntleroy	2	1983	Off-List[18]	"1,351"	Off-List[2]	"4,460"	"11,210"	1	4
		Little Women	3	2466	Off-List[58]	"1,696"	Off-List[5]	"13,149"	"14,252"	1	2
		Oliver Twist	2	Off-List[1]	Off-List[32]	"1,708"	Off-List[6]	"13,293"	"15,931"	1	5
